ID,area,p_agricole_tot,p_arable,p_grassland,p_forest,p_urban,p_other_land_uses,p_sedimentay,p_igneous,IDPR,annual_specific_runoff,p_waterbody,p_wetland_mediumConf,p_wetland_highConf,p_wetland_veryHighConf,p_not_wetland,bioGeoRegion
4027350,151.9974668,37.4830897,0.204773947,25.25627583,62.33228479,0.184625506,0,0,100,1073.746667,399.6,0,2.348568327,1.876552144,1.406180616,94.36869891,continental
3216310,152.0127166,90.94770516,71.24565169,13.17074976,3.38448507,5.667809768,1.07e-14,0,100,148.3225806,401.7337662,0.014802145,0.180915101,0.10197033,0.12006184,99.58225058,atlantic
2028200,152.0222925,46.14116448,21.98911336,4.676155472,47.1303354,6.728500127,0,91.53529901,8.464700994,1213.62,184.5909091,0,10.04456577,14.6557253,16.08479008,59.21491884,continental
5165760,152.0461594,95.47580877,86.47963168,0.000411066,3.491182637,1.033008591,0,69.81416107,30.18583893,1397.222222,124.2781457,0.032879595,4.303938975,5.221279674,3.799237193,86.64266456,atlantic
4120400,152.2888544,81.60774238,36.84402781,39.55780107,17.28368206,0.888994689,0.219580867,72.65272824,27.34727176,1066.198675,247.4934211,0.389028414,9.773312979,11.18661874,9.853745014,68.79729486,atlantic
4133960,152.4419689,91.83431662,44.37684237,18.17056221,1.409530525,6.756152859,0,76.38976264,23.61023736,1061.846667,191.8431373,0.132828258,8.396057788,9.183188206,7.55973172,74.72819403,atlantic
4009430,152.6140725,54.3549556,5.270247585,35.81369069,42.19186944,3.453174964,0,2.406710378,97.59328962,1114.623377,225.1456954,0.086785656,5.331586704,7.424267234,5.099066645,82.05829376,continental
1090000,152.6392091,83.63577553,45.39089562,26.68424544,4.782708386,11.13686055,0.444655535,0,100,1012.444444,361.8169935,0.076974729,8.932344126,5.771466942,5.393144336,79.82606987,atlantic
1140600,152.7843767,84.170734,74.9139825,5.309151608,13.76975539,2.059510611,1.29e-14,0,100,209.7777778,252.6490066,0,1.174815106,0.8246613,0.968649781,97.03187381,atlantic
2096500,152.8823547,79.51357517,35.71489896,33.81997621,12.49831358,7.988111251,4.44e-15,100,0,1163.385621,421.3096774,0.099740022,7.297372423,4.63872856,3.844078549,84.12008045,continental
5024250,152.9184525,73.35613975,4.413327448,39.0578253,22.37154021,1.558438374,2.713881668,0,100,1412.194805,554.76,2.537108481,6.305172301,4.343490486,3.038972079,83.77525665,continental
5176170,153.167128,42.29513549,1.068396996,25.26403852,57.30778648,0.397078028,5.33e-15,37.99544487,62.00455513,1292.172185,641.5231788,0,2.394007637,1.514409739,1.653121838,94.43846079,alpine
3037480,153.3931382,45.53314238,39.73541503,0.721558338,54.24766033,0.219197282,7.27e-15,0,100,426.316129,255.9733333,0,0.952116993,0.880382151,2.517240817,95.65026004,continental
2009000,153.4336516,9.381886316,0.182888332,2.384880145,84.48911427,5.073216431,1.055782978,39.89245701,60.10754299,1240.294872,1010.814103,0.495307612,3.419903545,3.991788321,3.863073514,88.22992701,continental
4131200,153.5649953,96.83470106,66.88403673,18.37672593,1.593233034,1.572065911,0,100,0,1290.466216,167.7467532,0.068386088,10.2237202,10.25465677,12.39904911,67.05418783,atlantic
6580130,153.8429079,13.93475258,0,13.05720322,83.80515154,1.491427643,0.768668238,0,100,939.5921053,1403.098039,0,3.507831286,3.569571716,9.844349126,83.07824787,continental
3163750,153.9558025,83.30579988,61.67830919,17.19304939,12.25529393,4.438906185,0,0,100,272.2207792,244.961039,0.035725885,1.310490419,0.930496915,1.433907113,96.28937967,atlantic
6193250,154.069452,65.82845877,3.789175638,1.268061561,18.89476631,14.66830008,0.608474838,12.180293,87.819707,988.5555556,216.2258065,0,13.44150576,17.2789226,27.28703553,41.9925361,mediterranean
3209485,154.190191,77.62581879,47.91126208,24.73166223,20.71105454,1.663126662,0,0,100,281.8571429,373.0784314,0,1.407354563,1.559763928,1.858097153,95.17478436,atlantic
6123150,154.355785,45.37553183,0.591442902,0,47.64738506,4.981317529,1.995765576,35.55325438,64.44674562,873.4605263,224.7727273,0,8.876544609,2.826048229,1.778224043,86.51918312,mediterranean
5167020,154.55448,31.50466605,4.765564639,12.47234144,68.41807201,0.077261934,5.48e-15,72.42795169,27.57204831,1270.279221,271.4358974,0,3.495428433,4.233352213,1.671656283,90.59956307,atlantic
3149353,154.9252462,74.02298201,25.26488223,44.40943166,23.56665026,2.410367728,0,10.65289428,89.34710572,1172.873418,388.0714286,0.022588296,8.569031446,5.721292696,5.47120799,80.21587957,continental
2081300,155.0374551,80.77025404,48.26785556,22.53440506,15.41273975,3.342551013,0.474455203,100,0,1225.686667,285.8805031,0.428990743,6.599361352,4.386672258,6.825145954,81.75982969,continental
2085700,155.1353282,72.15701917,48.00865435,21.07542738,21.30870793,3.63136032,2.902912582,0,100,1162.460526,318.1548387,2.472598324,11.81818182,11.52804642,7.354932302,66.82624113,continental
3171880,155.2102514,73.05369209,65.36026931,4.439039711,19.49086341,7.455444508,0,0,100,960.7707006,281.7888199,0.02576863,6.273050845,5.190768388,3.185646873,85.32476526,atlantic
4030600,155.3160328,54.92178573,5.653233983,26.12453128,39.10874358,5.576789996,0.392680689,0,100,958.7368421,342.1176471,0.48125674,3.212670412,2.227623171,2.432036569,91.64641311,continental
4004559,155.3383064,55.5789838,0,31.44503507,39.98342139,4.235593309,0.202001505,0,100,1324.493671,360.0129032,0.169011364,2.436982906,2.155297299,1.384283553,93.85442488,continental
4156410,155.992454,92.33996178,38.00449553,23.80269331,5.586963751,2.073074473,0,62.53410323,37.46589677,1105.172185,368.9556962,0.15224115,7.198602586,9.044726847,6.455024759,77.14940466,atlantic
4108285,156.0224415,83.55250772,40.87298567,34.67989057,14.43907246,2.008419821,5.77e-15,49.02867398,50.97132602,1040.356688,217.0580645,0.056102331,5.010739589,5.751290354,6.501458661,82.68040907,atlantic
1119100,156.0751851,85.86518672,84.18022087,0,8.50371189,4.652075375,0.979026019,0,100,415.0974026,220.6774194,0.514159405,5.091940031,4.481676064,5.73904408,84.17318042,atlantic
3144280,156.6644628,86.95319139,60.04891107,26.47740556,5.534211818,7.512596795,8.88e-16,0,100,694.7597403,350.0379747,0.073396838,6.715810636,4.416574921,4.9287572,83.86546041,atlantic
5039150,156.9987119,45.16810988,14.87966557,2.766198865,51.49238579,3.33950433,0,29.33105544,70.66894456,600.3584906,446.1483871,0.057353152,4.557982444,3.557488569,3.817170896,88.01000494,atlantic
5207060,157.1315167,0,0,0,57.18047027,0,42.81952973,53.50759308,46.49240692,1368.43038,1367.086093,1.272012528,1.647543865,2.357058391,1.062673783,93.66071143,alpine
