"CDSTATIONM","LBSTATIONM","COORDXSTAT","COORDYSTAT","CODEDEPART","LBDEPARTEM","lat","lon","elevation"
3024392,"L'YONNE A MONTREUILLON 1",759625,6675491,58,"NIEVRE",47.1770274728473,3.78727187560229,247.26
3024560,"L'ANGUISON A CERVON 1",758296,6680743,58,"NIEVRE",47.2244256484564,3.7704018116158,227.86
3024840,"L'YONNE A AMAZY 1",746199,6698029,58,"NIEVRE",47.3809884722066,3.61231440355535,159.32
3024885,"L'ARMANCE A NUARS 1",752921,6698086,58,"NIEVRE",47.3809982003637,3.70140907404886,234.89
3025238,"LE BEUVRON A OUAGNE 1",737272,6699957,58,"NIEVRE",47.3989070401918,3.49416069927776,167.12
3025368,"LE SAUZAY A CORVOL-L'ORGUEILLEUX 1",728018,6702356,58,"NIEVRE",47.4209591428324,3.37162085079456,188.22
3025492,"LA SAINTE-EUGeNIE A CORVOL-L'ORGUEILLEUX 1",731359,6703175,58,"NIEVRE",47.4281816244431,3.41599114567696,170.59
3025524,"LE PAINTROU A BREUGNON 1",733417.96,6704051.56,58,"NIEVRE",47.4359713405546,3.44336890320367,164.66
3025919,"LA RIVI RE DE DRUYES A ANDRYES 1",734089,6715100,89,"YONNE",47.5353897150366,3.4531127930393,156.43
3026000,"L'YONNE A SURGY 1",739304,6712569,58,"NIEVRE",47.5123174566709,3.52220647699878,139
3027000,"L'YONNE A PREGILBERT 1",749820.67,6728111.88,89,"YONNE",47.6515078521093,3.66366432495349,111
3027490,"L'YONNE A AUXERRE 1",744282,6739497,89,"YONNE",47.754374388321,3.59102141458179,98.12
3027491,"LE RU DE VALLAN A AUXERRE 1",741203,6740254,89,"YONNE",47.7613877348071,3.54999847900595,134.4
3027549,"LE FOSSe NUMlRO 01 DE LA COMMUNE D'AUXERRE A AUXERRE 1",745488.46,6743566.51,89,"YONNE",47.7909178397179,3.60754101752528,115.55
3027790,"LE RU DE BAULCHE A SAINT-GEORGES-SUR-BAULCHE 2",738918,6745556,89,"YONNE",47.8092453604667,3.51996408556219,111.05
3027840,"LE RU DE SINOTTE A MONETEAU 3",745060,6752282,89,"YONNE",47.869384764011,3.60270722702261,106.18
3028000,"L'YONNE A APPOIGNY 1",740057,6753146,89,"YONNE",47.8774850098929,3.535869410104,84.63
3029000,"L'YONNE A BASSOU 1",738800,6758574,89,"YONNE",47.9264096213749,3.51953192446478,79.35
3029140,"L'YONNE A LAROCHE-SAINT-CYDROINE 1",736140,6762600,89,"YONNE",47.9627926974839,3.48424604831794,77.04
3029470,"L'YONNE A CEZY 1",725660,6766009,89,"YONNE",47.9939652963529,3.3440238802002,72.58
3029530,"LE VRIN A LA FERTE-LOUPIERE 2",717644,6757474,89,"YONNE",47.9174213451597,3.23621176847195,132.45
3030000,"L'YONNE A VERON 1",721906,6781623,89,"YONNE",48.1346069675937,3.29447514760464,64.63
3030457,"LA GAILLARDE A SAINT-DENIS 1",720479,6790147,89,"YONNE",48.2113524796975,3.27569268351354,64.49
3031040,"L'YONNE A PONT-SUR-YONNE 2",715292,6798621,89,"YONNE",48.2877402115278,3.20616239599596,59.28
3032000,"L'YONNE A MONTEREAU-FAULT-YONNE 1",697000,6809681,77,"SEINE-ET-MARNE",48.387420033721,2.95947824572916,44.29
3032240,"LE TRINQUELIN A SAINT-LEGER-VAUBAN 2",777033,6698065,89,"YONNE",47.3784419247068,4.0209532111352,347.92
3032675,"LA ROMANiE A CUSSY-LES-FORGES 1",777841,6706143,89,"YONNE",47.4510589383461,4.03306138501968,283.86
3032695,"LE COUSIN A CUSSY-LES-FORGES 1",776124,6707457,89,"YONNE",47.4630862818159,4.01050000910707,281.59
3032959,"LE RUISSEAU DE BOUCHIN A ANNEOT 1",764975,6713215,89,"YONNE",47.5161048869852,3.86335225155404,153.61
3033000,"LE COUSIN A VAULT-DE-LUGNY 2",763113,6712510,89,"YONNE",47.5099397877006,3.83851342918457,138.76
3033200,"LA CURE A MARIGNY-L'EGLISE 1",772755,6695304,58,"NIEVRE",47.3540729515866,3.96381411213151,308.59
3033240,"LE CHALAUX A OUROUX-EN-MORVAN 2",773745,6677753,58,"NIEVRE",47.195972829473,3.97405973308751,478.72
3033305,"LE CHALAUX A CHALAUX 2",768952,6693830,58,"NIEVRE",47.3412115178191,3.91321307320276,288.53
3033306,"LE RUISSEAU DES GOTHS A CHALAUX 1",768676.9,6693731,0,NA,47.3403489383552,3.90955481820148,294.34
3033470,"LA BRINJAME A SAINT-ANDRE-EN-MORVAN 2",762407,6699119,58,"NIEVRE",47.389470326749,3.82727040325045,209.82
3033660,"LA CURE A ASQUINS 1",757016,6709226,89,"YONNE",47.4809344891056,3.75709616615236,139.23
3034000,"LA CURE A ACCOLAY 1",753226,6729386,89,"YONNE",47.6627091872012,3.70917701282435,109.34
3034370,"LE SEREIN A VIC-SOUS-THIL 1",799473,6694133,21,"COTE-D'OR",47.340058161083,4.31744230128212,335.64
3034720,"LE SEREIN A VIEUX-CHATEAU 2",784999,6707908,21,"COTE-D'OR",47.4660637219489,4.12838060643623,249.92
3034961,"LE RU DE MARMEAUX A MONTREAL 1",779226,6717234,89,"YONNE",47.5507221743807,4.05340368473422,201.37
3035455,"LE SEREIN A MOLAY 1",770431,6737293,89,"YONNE",47.7322571233725,3.93964907595381,158.35
3035570,"LE SEREIN A CHEMILLY-SUR-SEREIN 1",764623,6741975,89,"YONNE",47.7749909844062,3.86285113283867,141.02
3035840,"LE RUISSEAU DE BEINE A CHABLIS 1",757727,6747466,89,"YONNE",47.8250506662028,3.77149773746031,131.39
3036030,"LE SEREIN A MALIGNY 2",756693,6752179,89,"YONNE",47.867555568128,3.75828446204555,116.32
3036070,"LE SEREIN A PONTIGNY 2",753263,6757092,89,"YONNE",47.9120568375864,3.71300318741663,108.06
3036214,"LE GRAND RU A HERY 1",746693,6757050,89,"YONNE",47.9121798327216,3.62505360638464,91.58
3036325,"L'ARMANeON A BELLENOT-SOUS-POUILLY 1",814541,6687030,21,"COTE-D'OR",47.2736916518138,4.51515550127306,356.6
3036510,"L'ARMANaON A MONTIGNY-SUR-ARMANCON 1",803383,6704329,21,"COTE-D'OR",47.4312306505048,4.3715623495562,295.57
3036650,"L'ARMANeON A SEMUR-EN-AUXOIS 2",800086,6712290,21,"COTE-D'OR",47.5033905866865,4.32960834131991,243.38
3036885,"L'ARMAN ON A QUINCY-LE-VICOMTE 1",794859,6723895,21,"COTE-D'OR",47.6086094755495,4.2626465849742,210.53
3036970,"LE RUISSEAU DE BORNANT A AISY-SUR-ARMANCON 1",792607,6728124,89,"YONNE",47.6469904478102,4.2335549703739,211.16
3037480,"LE RU DE MeLISEY A TANLAY 1",782633.99,6751177.05,89,"YONNE",47.8557842239273,4.10502660877943,169.85
3037650,"L'ARMANNON A TRONCHOY 1",769940.45,6757538.69,89,"YONNE",47.914509188009,3.93630772799887,125.01
